,Year,Mean Medal Rank,Lat,Lon,Gold,Silver,Bronze,Total Medals
count,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
mean,1992.9227727204964,2.106923482217687,44.777781395348846,31.6576271860465,0.28686900338831567,0.3503462629436656,0.36278473366801883,73.69767441860465
std,14.935122895827845,0.33034486783723993,19.61372071658831,50.80346239634081,0.19052648383645843,0.1998580800276607,0.20282347154229885,100.37632401634527
min,1949.2,1.0,-41.3,-77.0369,0.0,0.0,0.0,1.0
25%,1983.3953678474113,1.9536707056307911,43.266666665,10.133333499999999,0.18333333333333335,0.28801843317972353,0.2830423386201075,7.0
50%,1994.0,2.064516129032258,48.86666667,18.05,0.3181818181818182,0.3333333333333333,0.34782608695652173,22.0
75%,2005.931818181818,2.354166666666667,52.433333335,29.041667,0.3652352672453175,0.37612275449101795,0.5,127.0
max,2013.0,3.0,60.16666667,174.783333,1.0,1.0,1.0,369.0
